253,Dreaming of You/Cigarettes After Sex,"['haimond', 'Marcelosgc1', 'PbzSmith', 'suicidxbladxs']"
250,Silhouette/Lars Gullin,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
246,Each Time You Fall in Love/Cigarettes After Sex,['PbzSmith']
243,My Foolish Heart/Gene Ammons,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
239,Sesame Syrup/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
238,You're All I Want/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
237,Kiss It Off Me/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
236,Crush/Cigarettes After Sex,"['haimond', 'Jackson_Joe', 'suicidxbladxs']"
231,INDUSTRY BABY (feat. Jack Harlow)/Lil Nas X,"['haimond', 'OsvaldoMusicas', 'suicidxbladxs']"
226,Starry Eyes/Cigarettes After Sex,"['haimond', 'PbzSmith', 'suicidxbladxs']"
225,Pompeji/Deftones,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'suicidxbladxs']"
223,Prima Vera/Lars Gullin,['haimond']
222,Merlin/Lars Gullin,"['haimond', 'Marcelosgc1', 'PbzSmith', 'suicidxbladxs']"
215,Old Town Road/Lil Nas X,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
213,Two-Way Mirror/Loathe,"['haimond', 'Jackson_Joe', 'suicidxbladxs']"
212,Alison/Slowdive,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas']"
210,Dirtmouth/Christopher Larkin,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
210,Violets For Your Furs - Rudy Van Gelder Remaster/John Coltrane,"['haimond', 'PbzSmith', 'suicidxbladxs']"
208,Is It Really You?/Loathe,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith']"
206,I Remember Clifford/Benny Golson,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas']"
205,Polka Dots and Moonbeams/Chet Baker,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
204,Virgo - Remastered 2004 / Rudy Van Gelder Edition/Wayne Shorter,"['Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
201,Stardust/Ben Webster,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'suicidxbladxs']"
200,Covet/Basement,"['Jackson_Joe', 'suicidxbladxs']"
200,When the Sun Hits/Slowdive,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
199,Everlong/Foo Fighters,"['haimond', 'OsvaldoMusicas', 'suicidxbladxs']"
197,40 Days/Slowdive,"['haimond', 'suicidxbladxs']"
195,Cigarettes out the Window/TV Girl,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
194,A Sad Cartoon/Loathe,"['haimond', 'Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
194,Youngest Daughter/Superheaven,"['haimond', 'Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
192,Me and the Birds/Duster,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
191,Out Of Nowhere/Charlie Parker,"['Marcelosgc1', 'OsvaldoMusicas']"
189,A La Carte/Lars Gullin,"['haimond', 'PbzSmith', 'suicidxbladxs']"
188,透明少女/NUMBER GIRL,"['Marcelosgc1', 'OsvaldoMusicas']"
186,Ma/Lars Gullin,"['Jackson_Joe', 'suicidxbladxs']"
186,These Foolish Things (Remind Me of You)/Chet Baker,"['Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
180,Phantom Bride/Deftones,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
179,Flamingo/Lars Gullin,"['haimond', 'Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
175,Eyes Of A Homeless Dog/Psychonaut 4,"['Jackson_Joe', 'OsvaldoMusicas', 'suicidxbladxs']"
175,When You Sleep/my bloody valentine,"['haimond', 'OsvaldoMusicas', 'suicidxbladxs']"
173,Heaven Sent/tevomxntana,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
171,Summertime/Chet Baker,"['Jackson_Joe', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
170,Deep in a Dream/Sonny Clark,"['Jackson_Joe', 'PbzSmith']"
170,Drunk in Paris/Type O Negative,"['haimond', 'Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith']"
168,Ando Meio Desligado/Os Mutantes,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
167,Lhabia/Deftones,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'suicidxbladxs']"
165,Chocolate and Mint/Duster,"['haimond', 'OsvaldoMusicas', 'suicidxbladxs']"
161,Souvenir d'Italie/Lelio Luttazzi,"['haimond', 'Marcelosgc1', 'suicidxbladxs']"
160,Heaven/平田志穂子,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas', 'PbzSmith', 'suicidxbladxs']"
