weight,name,listeners
-0.057583675158666574,Tauz,"['PbzSmith', 'suicidxbladxs']"
-0.05662961856717551,zimbra,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05613212508295143,椎名林檎,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.055992569047457155,Lil Uzi Vert,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.055823509023258625,The Cure,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.054495608503021334,YONLAPA,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.054350502793258794,Cochise,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs']"
-0.053432507709827826,アトラスサウンドチーム,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.05246592143989107,Black Sabbath,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-0.0521671369151758,Olivia Rodrigo,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05192853513696439,Ana Frango Elétrico,"['haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.051321552362070866,Limp Bizkit,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.05125132878441968,Bleach,"['Jackson_Joe', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.05106118565096426,Van Halen,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-0.04988871440980405,Cartola,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04878015006121303,Lil Tecca,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.04876293946220073,Ariana Grande,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.0487444800804012,Matuê,"['haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.047681061512770836,Julie,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04724959983925761,Eminem,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.04689146195895864,CPM 22,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04614408689480824,Guns N' Roses,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04506386930511594,Racionais MC's,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04493727451087331,Akira Yamaoka,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.04251814482661916,ミドリ,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.04246140360794504,Djavan,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.042369999656336775,Red Velvet,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.04195562682155893,Tim Maia,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.041820945160300216,pumapjl,"['haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.04149915623362435,Rita Lee,"['PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.0405517074084033,Ichiko Aoba,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.040463399838905525,Slipknot,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.040107497908501356,Skank,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
