weight,name,listeners
-799744,Operation: Doomsday (Complete)/MF DOOM,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-684944,Stratosphere/Duster,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-677448,Covers/Deftones,"['Jackson_Joe', 'haimond', 'suicidxbladxs']"
-661760,Appetite for Destruction/Guns N' Roses,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-610060,Adoniran Barbosa/Adoniran Barbosa,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-608718,Gore/Deftones,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-589992,Deftones/Deftones,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-566784,Cigarettes After Sex/Cigarettes After Sex,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-514800,Minecraft - Volume Alpha/C418,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-481320,Chet Baker Sings/Chet Baker,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-471960,Starboy/The Weeknd,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-396032,Pablo Honey/Radiohead,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-393024,HEROES & VILLAINS/Metro Boomin,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-328860,The Number of the Beast (2015 remaster)/Iron Maiden,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-311520,NewJeans 'OMG'/NewJeans,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-278640,(What's the Story) Morning Glory? [Remastered]/Oasis,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-277500,Lingering Gloaming/YONLAPA,"['Jackson_Joe', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-273780,Windswept Adan/Ichiko Aoba,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-251100,Cartola (1976)/Cartola,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-242046,In Rainbows/Radiohead,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-238280,Jar of Flies/Alice in Chains,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-237150,Rebel Yell/Billy Idol,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-236808,TV Animation Bleach Original Soundtrack 1/Shiro Sagisu,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-221540,Fear Of The Dark (2015 Remaster)/Iron Maiden,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-218700,Luz/Djavan,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-206172,The Sound of Perseverance - Reissue/Death,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-202752,Thriller/Michael Jackson,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-199920,Stadium Arcadium/Red Hot Chili Peppers,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-196992,"CALL ME IF YOU GET LOST/Tyler, the Creator","['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-186240,Born Like This/MF DOOM,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-185250,Red Moon in Venus/Kali Uchis,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-180728,Dawn FM/The Weeknd,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-180400,Vol. 3: The Subliminal Verses/Slipknot,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-179256,Hollow Knight (Original Soundtrack)/Christopher Larkin,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-167024,ASTROWORLD/Travis Scott,"['Jackson_Joe', 'PbzSmith', 'OsvaldoMusicas']"
-156000,Mass Of The Fermenting Dregs/MASS OF THE FERMENTING DREGS,"['Jackson_Joe', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-152292,SOUR/Olivia Rodrigo,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-146432,By the Way (Deluxe Edition)/Red Hot Chili Peppers,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-144180,Yeezus/Kanye West,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-139860,"Chromakopia/Tyler, the Creator","['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-134460,Death of a Party Girl/TV Girl,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-130284,этажи/Molchat Doma,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-123690,Brasilian Skies/Masayoshi Takanaka,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-117480,The Bends/Radiohead,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-117300,Paranoid (2009 Remastered Version)/Black Sabbath,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-116610,For Lovers/Lamp,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-116100,After Hours/The Weeknd,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-111100,Cartola (1974)/Cartola,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-110160,Blood Sugar Sex Magik (Deluxe Edition)/Red Hot Chili Peppers,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-89856,Business As Usual/Men at Work,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-89856,Pouso/zimbra,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-89012,The Idol Episode 4 (Music from the HBO Original Series)/The Weeknd,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-86400,Whole Lotta Red/Playboi Carti,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-86400,HOLIDAY/Lil Nas X,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-84240,We Love You Tecca/Lil Tecca,"['Jackson_Joe', 'PbzSmith', 'haimond', 'OsvaldoMusicas']"
