weight,name,listeners
-0.019857140283024866,Gauze/Deftones/Koi No Yokan,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.019783624701510967,You've Seen the Butcher/Deftones/Diamond Eyes,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.01946657201678962,Scar Tissue/Red Hot Chili Peppers/Californication (Deluxe Edition),"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.01939419817403282,TELL EM/Cochise/TELL EM,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs']"
-0.019380566176293468,Exit Music (for a Film)/Radiohead/OK Computer,"['haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.01929235961854642,Even Flow/Pearl Jam/Ten,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.019280970352760787,Ditto/NewJeans/Ditto,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.019254436704508347,MONTERO (Call Me by Your Name)/Lil Nas X/MONTERO,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.019166972496747058,All Caps/Madvillain/Madvillainy,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.019130416552914902,Cupid - Twin Ver./Fifty Fifty/The Beginning: Cupid,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.018997855217451478,In the End/Linkin Park/Hybrid Theory (Bonus Edition),"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.018868960844535806,Heart-Shaped Box/Nirvana/In Utero,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.01882052547377016,Old Town Road/Lil Nas X/7 EP,"['PbzSmith', 'suicidxbladxs']"
-0.01859217114714462,Combat/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.018447138845269443,Rapp Snitch Knishes feat. Mr. Fantastik/MF DOOM/MM...FOOD,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.018379171828195782,K./Cigarettes After Sex/Cigarettes After Sex,"['haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.01815549999166962,Hype Boy/NewJeans/NewJeans 1st EP 'New Jeans',"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.018008759811852095,The Emptiness Machine/Linkin Park/From Zero,"['Jackson_Joe', 'PbzSmith', 'haimond', 'OsvaldoMusicas']"
-0.01792261575110379,Rapture/Deftones/Saturday Night Wrist,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.01767972036366552,Only Shallow/my bloody valentine/Loveless,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.017383956200747494,Beauty School/Deftones/Diamond Eyes,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.017280917987931462,Them Bones (2022 Remaster)/Alice in Chains/Dirt (2022 Remaster),"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
